epoch,acc,loss,val_acc,val_loss
0,0.31557999999046327,1.942955430984497,0.3848,1.768791738510132
1,0.4169799999809265,1.6446958490371704,0.4331,1.5983153301239013
2,0.4569,1.5241023733139039,0.4343,1.6530956050872803
3,0.4854800000095367,1.446462501487732,0.502,1.3984443809509277
4,0.5078600000190735,1.3873257872772218,0.5212,1.348360528564453
5,0.5299799999809265,1.3363598133087158,0.5277,1.3487816387176514
6,0.5462999999809265,1.2909363459396361,0.539,1.3037490041732789
7,0.5615200000190735,1.252872088356018,0.5609,1.2434782960891724
8,0.573959999961853,1.2172067137145997,0.5652,1.2380498424530029
9,0.584200000038147,1.185110202484131,0.5834,1.1726110008239745
10,0.594380000038147,1.1556197992706299,0.6013,1.1397960221290588
11,0.6066999999809265,1.1300475188064576,0.6031,1.127756982421875
12,0.6138800000190735,1.1025941051483155,0.6146,1.0980021191596985
13,0.6218399999809265,1.0791764667129518,0.6158,1.0836065246582032
14,0.6336399999809265,1.056371964149475,0.6092,1.1043826808929444
15,0.6394200000381469,1.0358896865653993,0.6097,1.081434628200531
16,0.646579999961853,1.0143931240844726,0.6294,1.0501585317611695
17,0.655479999961853,0.9956068449783325,0.6362,1.0500263118743896
18,0.6621800000190735,0.9746458750915528,0.6336,1.0350852077484132
19,0.6686399999618531,0.9584378982543945,0.6476,1.0023993499755859
20,0.6709000000190735,0.941786030921936,0.6471,0.9901679467201233
21,0.6795599999809265,0.9263842971801758,0.6394,1.0292640705108642
22,0.683540000038147,0.9101434905624389,0.6455,1.0045787272453308
23,0.69032,0.8974501870346069,0.6668,0.9694961040496827
24,0.6942199999809265,0.8811042554283142,0.6713,0.9430397306442261
25,0.700860000038147,0.8673230635833741,0.6684,0.971029041671753
26,0.701839999961853,0.8569056293869018,0.6798,0.9202211402893067
27,0.7085200000190734,0.8428860202217102,0.672,0.9518273212432862
28,0.71474,0.8292814706802368,0.6795,0.9294726648330689
29,0.719839999961853,0.8178207142448425,0.6813,0.9270061874389648
30,0.722660000038147,0.8048723859024047,0.6918,0.8941920022964478
31,0.7264800000190735,0.7934552626228333,0.6787,0.9275129371643066
32,0.73018,0.7830776344490051,0.6907,0.8997123157501221
33,0.731380000038147,0.7729833473587037,0.68,0.9221956954956054
34,0.737139999961853,0.7601163545417786,0.6954,0.8898356168746948
35,0.739760000038147,0.7502543463325501,0.7069,0.8559897888183594
36,0.7452400000190735,0.7391057223129273,0.6876,0.9078043051719665
37,0.7471799999809265,0.7320948870468139,0.7051,0.8598895734786988
38,0.7530600000190735,0.7200097586631775,0.6997,0.8684488554000854
39,0.7566800000190735,0.7102033859443665,0.6939,0.8958136932373046
40,0.7596199999809266,0.7011653456115723,0.7109,0.8405321231842041
41,0.76126,0.6895791190338135,0.703,0.8794476207733154
42,0.766259999961853,0.6812506248092651,0.7009,0.8633838206291199
43,0.768560000038147,0.6710300171089172,0.7144,0.8475303388595581
44,0.7728400000190735,0.6635051970672607,0.7096,0.8680821710586548
45,0.7763,0.6535933813667297,0.7018,0.876662302017212
46,0.7783200000381469,0.6460446514511108,0.7039,0.8735959396362305
47,0.78326,0.6352132824516297,0.7081,0.8529830068588257
48,0.785020000038147,0.6260573552894593,0.7153,0.8340991738319397
49,0.7862999999809265,0.6190271116447449,0.7154,0.8314398392677307
50,0.7906400000190735,0.6102550285530091,0.7158,0.8460393119812012
51,0.7937799999809265,0.6030846834182739,0.7159,0.8470987865447998
52,0.7958400000381469,0.5935278847885131,0.7222,0.8278026215553284
53,0.799480000038147,0.5865530031967163,0.7167,0.840922357749939
