epoch,acc,loss,val_acc,val_loss
0,0.8554,0.466781166712443,0.8718,0.4269647537469864
1,0.94883335,0.16743756145238875,0.9104,0.3065916841030121
2,0.9665167,0.10972516105572383,0.9248,0.2655677835464478
3,0.97353333,0.0849886030892531,0.9336,0.2357223356962204
4,0.97941667,0.06641978285113971,0.9424,0.2130501533985138
5,0.98253334,0.055618711059292156,0.9462,0.19764461242854595
6,0.9854,0.04683671983977159,0.9483,0.1960366947054863
7,0.98745,0.03878224645455678,0.952,0.18430638580918313
8,0.98856664,0.033509676838169494,0.9523,0.18529264864921569
9,0.9899833,0.030234972027689218,0.9532,0.18237636388540268
10,0.9914333,0.025949796872834364,0.9547,0.18438454632759094
11,0.9917667,0.024160354802509148,0.9545,0.18754765117168426
12,0.99261665,0.021339771472662687,0.9573,0.17739201409816743
13,0.99341667,0.019345158953778446,0.9582,0.1786035705566406
14,0.9943333,0.017558787461121876,0.9546,0.1845444412186742
15,0.9949333,0.015169246177002788,0.9568,0.1933022804852575
16,0.9946333,0.015575611882843078,0.9604,0.18029068231582643
17,0.9946667,0.014738417543595035,0.9556,0.2088650544524193
18,0.99541664,0.01335810480384777,0.9575,0.2052140391767025
19,0.99558336,0.013096894316654652,0.9519,0.22267444336414338
